2020/08/24;Выезд в Советскую Гавань;439;4390;
2020/08/24;Вовзврат за ключами в Заветы Ильича;0;-300;
2020/08/30;Возврат;0;-4090;
2020/08/30;Замена купюроприемника;0;200;
2020/08/30;Выезд в заветы;412;4120;
2020/08/30;Установкв ОС без настройки/отладки(тест);0;1000;
2020/09/09;Замена купюро приемника. проблема не решена.;0;-200;
2020/09/23;Выезд в Заветы.;0;-4120;
2020/09/23;Установка ОС без настройки/отладки(тест);0;-1000;
2020/10/14;Выезд в Ванино 777, перезапуск терминала;90;900.0;
2020/10/21;Выезд Камелот, Бяуда - нет связи;196;1960.0;
2020/10/21;Замена материнской платы Камелот;0;500;
2020/10/21;Установка настройка ОС;0;3000;
2020/11/12;Возврат;0;-6360;
2020/12/08;Выезд Токи-Ванио-Заветы-Советская Гавань;418;4180.0;
2020/12/10;Возврат;0;-4180;
2020/12/11;Перевод терминалов с NPS на QIWI 15 штук;0;1500;
2020/12/11;Выезд Монгохто-Заветы Ильича;495;4950.0;
2020/12/23;Возврат;0;-6450;
2020/12/23;Выезд в Советскую-гавань;456;4560.0;
2020/12/30;Возврат;0;-4650;
2020/12/31;Выезд в Советскую-Гавань;223;2230.0;
2021/01/20;Выезд Заветы Ильича;216;2160.0;
2021/01/31;Возврат;0;-4300;
